,State_Code,State_Name,Crash_ID,Count_Non_Motorists,Count_Vehicles_Total,Count_Vehicle_Forms,Count_PVH_Involved,Count_Occupants_MV,City_Name,Month_Name,Day_of_Month,Day_of_Week,Crash_Hour,Crash_Minute,Area_Rural_Urban,Road_Functional_Class,On_NHS_Road,Latitude,Longitude,Intersection_Type,Light_Condition,Weather_Condition,Notif_Hour,Notif_Minute,Arrival_Hour,Arrival_Minute,Hospital_Hour,Hospital_Minute,Fatalities_Count,Clean_Light_Condition,Clean_Weather_Condition,Total_Killed,Total_Alive,Fatal_Seats_List,Killed_Restraint_List,Any_Driver_Drinking,Total_Drinking_Drivers,Driver_License_Category,Driver_Max_Prev_Accident_Count,Driver_Max_Prev_Speeding_Count,Max_Driver_Age,Min_Driver_Age,Driver_Sex_List,Total_Exceeding_Limit_Vehicles,Total_Too_Fast_Vehicles,Max_Vehicle_Type_Severity_5,Max_Vehicle_Damage_Rank,Max_Harmful_Event_Severity,Crash_Road_Surface_Condition,Crash_Horizontal_Alignment,Crash_Vertical_Profile,Crash_Impairment_Category,Crash_Vehicle_Defect
37630,56,Wyoming,560098,0,1,1,0,1,NOT APPLICABLE,October,21,Saturday,14,4,Rural,Medium Speed (Collector),No,42.77740833,-108.77886944,Non-Intersection,Daylight,Clear,Unknown,Unknown,Unknown EMS Scene Arrival Hour,Unknown EMS Scene Arrival Minutes,Not Applicable (Not Transported),Not Applicable (Not Transported),1,Daylight,Clear,1,0,['Driver'],['Shoulder_Lapbelt'],0,0,Valid,0.0,0.0,46.0,46.0,['Female'],0,0,3,4,3,Dry,Straight,Grade/Hillcrest,Lowest,No
37631,56,Wyoming,560099,0,1,1,0,1,NOT APPLICABLE,October,26,Thursday,14,45,Rural,Medium Speed (Collector),No,44.33388611,-104.31463611,Non-Intersection,Daylight,Snow,2:00pm-2:59pm,49,3:00pm-3:59pm,1,Not Applicable (Not Transported),Not Applicable (Not Transported),1,Daylight,Snow/Ice/Severe,1,0,['Driver'],['None_Used'],0,0,Valid,0.0,0.0,42.0,42.0,['Male'],1,0,3,4,3,Icy/Snowy,Straight,Level,Lowest,No
37632,56,Wyoming,560100,0,1,1,0,1,NOT APPLICABLE,October,29,Sunday,1,25,Rural,High Speed (Arterial),Yes,44.46066667,-108.58646111,Non-Intersection,Dark - Not Lighted,Clear,1:00am-1:59am,33,1:00am-1:59am,50,Not Applicable (Not Transported),Not Applicable (Not Transported),1,Dark - Unlighted,Clear,1,0,['Driver'],['None_Used'],1,1,Valid,0.0,1.0,24.0,24.0,['Male'],0,0,3,4,3,Dry,Straight,Level,Medium,No
37633,56,Wyoming,560101,0,2,2,0,2,NOT APPLICABLE,November,4,Saturday,14,14,Rural,Medium Speed (Collector),No,44.37503889,-105.52505556,Non-Intersection,Daylight,Clear,2:00pm-2:59pm,15,2:00pm-2:59pm,21,2:00pm-2:59pm,42,1,Daylight,Clear,1,1,['Driver'],['None_Used'],0,0,Valid,0.0,0.0,70.0,53.0,"['Female', 'Male']",0,0,5,4,5,Dry,Straight,Level,Lowest,No
37634,56,Wyoming,560102,0,1,1,0,1,NOT APPLICABLE,November,6,Monday,5,25,Rural,High Speed (Arterial),Yes,41.56050278,-109.53409722,Non-Intersection,Dark - Lighted,Clear,5:00am-5:59am,30,6:00am-6:59am,4,Not Applicable (Not Transported),Not Applicable (Not Transported),1,Dark - Lighted,Clear,1,0,['Driver'],['None_Used'],0,0,Valid,0.0,0.0,50.0,50.0,['Male'],0,0,2,4,3,Dry,Curve,Grade/Hillcrest,Medium,No
37635,56,Wyoming,560103,0,1,1,0,2,NOT APPLICABLE,November,8,Wednesday,0,1,Rural,High Speed (Arterial),Yes,41.35661944,-110.33924167,Non-Intersection,Dark - Not Lighted,Cloudy,7:00am-7:59am,25,7:00am-7:59am,30,8:00am-8:59am,16,2,Dark - Unlighted,Reduced Visibility,2,0,"['Driver', 'Front_Passenger']","['None_Used', 'None_Used']",0,0,Valid,0.0,0.0,72.0,72.0,['Male'],2,0,3,4,3,Icy/Snowy,Straight,Level,Lowest,No
37636,56,Wyoming,560104,0,1,1,0,1,NOT APPLICABLE,November,11,Saturday,2,0,Rural,Medium Speed (Collector),No,42.85719167,-108.72548056,Simple Junction,Dark - Not Lighted,Clear,Not Applicable (Not Notified),Not Applicable (Not Notified),Not Applicable,Not Applicable,Not Applicable (Not Transported),Not Applicable (Not Transported),1,Dark - Unlighted,Clear,1,0,['Driver'],['None_Used'],1,1,Valid,0.0,1.0,32.0,32.0,['Female'],0,0,2,4,4,Dry,Straight,Level,Lowest,No
37637,56,Wyoming,560105,0,1,1,0,1,ROCK SPRINGS,November,16,Thursday,8,18,Rural,High Speed (Arterial),Yes,41.59733056,-109.19970556,Non-Intersection,Daylight,Rain,8:00am-8:59am,21,8:00am-8:59am,28,Not Applicable (Not Transported),Not Applicable (Not Transported),1,Daylight,Rain/Wind/Minor,1,0,['Driver'],['None_Used'],0,0,Valid,0.0,1.0,26.0,26.0,['Male'],0,0,4,4,3,Wet/Standing Water,Curve,Grade/Hillcrest,Medium,No
37638,56,Wyoming,560106,0,1,1,0,3,NOT APPLICABLE,November,18,Saturday,21,41,Rural,Low Speed (Local),No,42.92831389,-108.77539167,Non-Intersection,Dark - Not Lighted,Clear,8:00pm-8:59pm,53,9:00pm-9:59pm,6,Unknown,Unknown EMS Hospital Arrival Time,1,Dark - Unlighted,Clear,1,2,['Driver'],['None_Used'],1,1,Invalid,0.0,0.0,31.0,31.0,['Male'],0,0,3,4,3,Dry,Curve,Level,Lowest,No
37639,56,Wyoming,560107,0,1,1,0,2,TORRINGTON,November,19,Sunday,4,15,Urban,Medium Speed (Collector),No,42.08835833,-104.18798333,Non-Intersection,Dark - Not Lighted,Clear,4:00am-4:59am,18,4:00am-4:59am,24,4:00am-4:59am,40,1,Dark - Unlighted,Clear,1,1,['Front_Passenger'],['None_Used'],1,1,Valid,0.0,1.0,19.0,19.0,['Female'],2,0,2,4,2,Dry,Straight,Level,Lowest,No
